ticker,factor,year,coefficient,t-value
BHP,alpha,2011,-0.0004,-0.6591
BHP,total_return,2011,-0.2223,1.0
BX,mkt-rf,2011,1.5639,12.9391
BX,smb,2011,-0.1744,-0.774
BX,hml,2011,0.1577,0.4269
BX,rmw,2011,-0.5101,-1.1447
BX,cma,2011,0.7327,1.4588
BX,mom,2011,-0.1688,-0.9068
BX,alpha,2011,0.0008,0.7622
BX,total_return,2011,0.0363,1.0
UNP,mkt-rf,2011,1.0012,13.2039
UNP,smb,2011,0.1769,1.251
UNP,hml,2011,-0.034,-0.1466
UNP,rmw,2011,0.0635,0.2272
UNP,cma,2011,0.4585,1.455
UNP,mom,2011,-0.0345,-0.295
UNP,alpha,2011,0.0007,1.0211
UNP,total_return,2011,0.1658,1.0
AXP,mkt-rf,2011,1.1163,15.7831
AXP,smb,2011,-0.5042,-3.8229
AXP,hml,2011,0.4838,2.2378
AXP,rmw,2011,-0.0298,-0.1144
AXP,cma,2011,-0.2632,-0.8954
AXP,mom,2011,-0.119,-1.0928
AXP,alpha,2011,0.0006,0.9881
AXP,total_return,2011,0.1165,1.0
TTE,mkt-rf,2011,1.3023,17.836
TTE,smb,2011,-0.4694,-3.4473
TTE,hml,2011,-0.0927,-0.4156
TTE,rmw,2011,0.0009,0.0035
TTE,cma,2011,0.3887,1.2809
TTE,mom,2011,-0.1241,-1.1035
TTE,alpha,2011,0.0001,0.1473
TTE,total_return,2011,0.0172,1.0
GE,mkt-rf,2011,1.1973,17.3665
GE,smb,2011,-0.4261,-3.3141
GE,hml,2011,0.1678,0.7965
GE,rmw,2011,0.1806,0.7104
GE,cma,2011,0.7491,2.6145
GE,mom,2011,-0.1826,-1.7202
GE,alpha,2011,0.0001,0.1904
GE,total_return,2011,0.014,1.0
SPGI,mkt-rf,2011,0.9713,9.1626
SPGI,smb,2011,0.1751,0.8858
SPGI,hml,2011,0.0901,0.2781
SPGI,rmw,2011,0.4637,1.1863
SPGI,cma,2011,0.1589,0.3607
SPGI,mom,2011,-0.0343,-0.2101
SPGI,alpha,2011,0.0009,0.9221
SPGI,total_return,2011,0.266,1.0
TXN,mkt-rf,2011,0.8927,12.4375
TXN,smb,2011,0.0125,0.0936
TXN,hml,2011,-1.7138,-7.8118
TXN,rmw,2011,-0.9138,-3.453
TXN,cma,2011,0.9271,3.1081
TXN,mom,2011,-0.5015,-4.5369
TXN,alpha,2011,-0.0001,-0.1953
TXN,total_return,2011,-0.0882,1.0
AMAT,mkt-rf,2011,1.0044,10.3248
AMAT,smb,2011,-0.159,-0.8762
AMAT,hml,2011,-1.7269,-5.8081
AMAT,rmw,2011,-1.3374,-3.7287
AMAT,cma,2011,0.7211,1.7836
AMAT,mom,2011,-0.6247,-4.1696
AMAT,alpha,2011,-0.0004,-0.5183
AMAT,total_return,2011,-0.2184,1.0
PM,mkt-rf,2011,0.8351,12.8711
PM,smb,2011,-0.2307,-1.9067
PM,hml,2011,0.2122,1.0701
PM,rmw,2011,0.8669,3.624
PM,cma,2011,0.3299,1.2236
PM,mom,2011,-0.0394,-0.3948
PM,alpha,2011,0.0009,1.6733
PM,total_return,2011,0.3984,1.0
MS,mkt-rf,2011,1.3348,11.2828
MS,smb,2011,-0.2217,-1.0051
MS,hml,2011,1.6217,4.4849
MS,rmw,2011,-1.4143,-3.2423
MS,cma,2011,-0.3135,-0.6376
MS,mom,2011,-1.0798,-5.9267
MS,alpha,2011,-0.0001,-0.123
MS,total_return,2011,-0.4391,1.0
ISRG,mkt-rf,2011,1.0197,8.7038
ISRG,smb,2011,0.1158,0.5301
ISRG,hml,2011,0.2266,0.6329
ISRG,rmw,2011,0.5385,1.2465
ISRG,cma,2011,0.4877,1.0016
ISRG,mom,2011,0.2893,1.6033
ISRG,alpha,2011,0.0021,2.0854
ISRG,total_return,2011,0.7963,1.0
RY,mkt-rf,2011,0.8906,12.2644
RY,smb,2011,-0.6244,-4.6111
RY,hml,2011,0.0283,0.1273
RY,rmw,2011,-0.681,-2.5436
RY,cma,2011,0.2371,0.7858
RY,mom,2011,-0.1504,-1.3451
RY,alpha,2011,0.0004,0.6724
RY,total_return,2011,0.0121,1.0
COP,mkt-rf,2011,0.8876,12.5381
COP,smb,2011,-0.3038,-2.3015
COP,hml,2011,0.3247,1.5009
COP,rmw,2011,-0.4006,-1.5347
COP,cma,2011,-0.0385,-0.131
COP,mom,2011,0.4414,4.0482
COP,alpha,2011,0.0005,0.8151
COP,total_return,2011,0.1107,1.0
HDB,mkt-rf,2011,1.0119,8.2137
HDB,smb,2011,-0.2069,-0.9007
HDB,hml,2011,-0.4124,-1.0954
HDB,rmw,2011,-0.7791,-1.7152
HDB,cma,2011,-0.0894,-0.1747
HDB,mom,2011,-0.1485,-0.7826
HDB,alpha,2011,-0.0005,-0.4554
HDB,total_return,2011,-0.2083,1.0
RTX,mkt-rf,2011,1.2631,22.403
RTX,smb,2011,-0.4476,-4.2575
RTX,hml,2011,-0.5851,-3.3953
RTX,rmw,2011,0.2885,1.388
RTX,cma,2011,0.5296,2.2603
RTX,mom,2011,-0.2666,-3.0709
RTX,alpha,2011,-0.0004,-0.9116
RTX,total_return,2011,-0.0496,1.0
SYK,mkt-rf,2011,1.061,13.0109
SYK,smb,2011,-0.0853,-0.5608
SYK,hml,2011,-0.1777,-0.713
SYK,rmw,2011,0.3144,1.0458
SYK,cma,2011,-0.0529,-0.1561
SYK,mom,2011,-0.2559,-2.0376
SYK,alpha,2011,-0.0003,-0.4722
SYK,total_return,2011,-0.0614,1.0
BKNG,mkt-rf,2011,1.195,9.7115
BKNG,smb,2011,-0.0013,-0.0058
BKNG,hml,2011,-1.3398,-3.5625
BKNG,rmw,2011,0.0865,0.1906
BKNG,cma,2011,-0.3897,-0.7621
BKNG,mom,2011,-0.0743,-0.392
BKNG,alpha,2011,0.0003,0.2666
BKNG,total_return,2011,0.1695,1.0
BUD,mkt-rf,2011,1.0254,12.6011
BUD,smb,2011,-0.3963,-2.6113
BUD,hml,2011,-0.2083,-0.8375
BUD,rmw,2011,0.4218,1.406
BUD,cma,2011,0.4298,1.2711
BUD,mom,2011,-0.0321,-0.2562
BUD,alpha,2011,0.0001,0.0742
BUD,total_return,2011,0.0893,1.0
BA,mkt-rf,2011,1.2341,16.5105
BA,smb,2011,-0.3208,-2.3018
BA,hml,2011,-0.3904,-1.7091
BA,rmw,2011,0.2169,0.7872
BA,cma,2011,0.7883,2.5378
BA,mom,2011,-0.2009,-1.7452
BA,alpha,2011,0.0004,0.6882
BA,total_return,2011,0.1523,1.0
HON,mkt-rf,2011,1.2659,19.0993
HON,smb,2011,-0.0404,-0.327
HON,hml,2011,-0.4698,-2.3192
HON,rmw,2011,-0.0283,-0.1157
HON,cma,2011,0.4937,1.7924
HON,mom,2011,-0.1152,-1.129
HON,alpha,2011,0.0002,0.3065
HON,total_return,2011,0.0495,1.0
LOW,mkt-rf,2011,1.0626,11.5268
LOW,smb,2011,0.2487,1.447
LOW,hml,2011,0.5524,1.9604
LOW,rmw,2011,1.6066,4.7267
LOW,cma,2011,1.0449,2.7273
LOW,mom,2011,0.0562,0.3957
LOW,alpha,2011,-0.0004,-0.496
LOW,total_return,2011,0.0343,1.0
GS,mkt-rf,2011,0.8624,11.1483
GS,smb,2011,0.0012,0.0085
GS,hml,2011,1.0519,4.4492
GS,rmw,2011,-0.7374,-2.5853
GS,cma,2011,-0.37,-1.1508
GS,mom,2011,-0.6756,-5.6711
