Date,NumericDeliveryMonth,Symbol,Open,High,Low,Close,UnAdjustedClose,ClosingBid,ClosingAsk,Volume,OI,TotalVolume,TotalOI,Sector,Industry,Category,MarketCap,SharesOut,PE_Ratio,EPS,DPS,DivYield,Dividend,Split,MarketCap
20041213,54,MCD,20.42000000,20.51000000,20.35000000,20.51000000,31.98000000,20.51000000,20.51000000,63345,0,63345,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,0
20041214,54,MCD,20.51000000,20.54000000,20.40000000,20.46000000,31.91000000,20.46000000,20.46000000,81467,0,81467,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,0
20041215,54,MCD,20.42000000,20.84000000,20.42000000,20.80000000,32.44000000,20.80000000,20.80000000,95203,0,95203,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,0
20041216,54,MCD,20.80000000,21.00000000,20.72000000,20.94000000,32.66000000,20.94000000,20.94000000,88403,0,88403,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,0
20041217,54,MCD,20.95000000,21.12000000,20.80000000,20.87000000,32.54000000,20.87000000,20.87000000,110831,0,110831,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,0
20041220,54,MCD,20.87000000,21.03000000,20.64000000,20.77000000,32.39000000,20.77000000,20.77000000,69940,0,69940,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,0
20041221,54,MCD,20.88000000,20.99000000,20.78000000,20.90000000,32.59000000,20.90000000,20.90000000,66046,0,66046,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,0
20041222,54,MCD,20.95000000,21.13000000,20.71000000,20.85000000,32.52000000,20.85000000,20.85000000,68388,0,68388,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,0
20041223,54,MCD,20.87000000,20.99000000,20.60000000,20.73000000,32.33000000,20.73000000,20.73000000,44041,0,44041,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,0
20041224,54,MCD,20.87000000,20.99000000,20.60000000,20.73000000,32.33000000,32.33000000,20.73000000,0,0,0,0,"Consumer Cyclical","Consumer Cyclical/Restaurants","Common Stock",0,0,0.000,0.000,0.000,0.000,N/A,N/A,0
